county,fips,weight
Anderson,1,58458
Andrews,3,14786
Angelina,5,86771
Aransas,7,23158
Archer,9,9054
Armstrong,11,1901
Atascosa,13,44911
Austin,15,28417
Bailey,17,7165
Bandera,19,20485
Bastrop,21,74171
Baylor,23,3726
Bee,25,31861
Bell,27,310235
Bexar,29,1714773
Blanco,31,10497
Borden,33,641
Bosque,35,18212
Bowie,37,92565
Brazoria,39,313166
Brazos,41,194851
Brewster,43,9232
Briscoe,45,1637
Brooks,47,7223
Brown,49,38106
Burleson,51,17187
Burnet,53,42750
Caldwell,55,38066
Calhoun,57,21381
Callahan,59,13544
Cameron,61,406220
Camp,63,12401
Carson,65,6182
Cass,67,30464
Castro,69,8062
Chambers,71,35096
Cherokee,73,50845
Childress,75,7041
Clay,77,10752
Cochran,79,3127
Coke,81,3320
Coleman,83,8895
Collin,85,782341
Collingsworth,87,3057
Colorado,89,20874
Comal,91,108472
Comanche,93,13974
Concho,95,4087
Cooke,97,38437
Coryell,99,75388
Cottle,101,1505
Crane,103,4375
Crockett,105,3719
Crosby,107,6059
Culberson,109,2398
Dallam,111,6703
Dallas,113,2368139
Dawson,115,13833
Deaf Smith,117,19372
Delta,119,5231
Denton,121,662614
Dewitt,123,20097
Dickens,125,2444
Dimmit,127,9996
Donley,129,3677
Duval,131,11782
Eastland,133,18583
Ector,135,137130
Edwards,137,2002
Ellis,139,149610
El Paso,141,800647
Erath,143,37890
Falls,145,17866
Fannin,147,33915
Fayette,149,24554
Fisher,151,3974
Floyd,153,6446
Foard,155,1336
Fort Bend,157,585375
Franklin,159,10605
Freestone,161,19816
Frio,163,17217
Gaines,165,17526
Galveston,167,291309
Garza,169,6461
Gillespie,171,24837
Glasscock,173,1226
Goliad,175,7210
Gonzales,177,19807
Gray,179,22535
Grayson,181,120877
Gregg,183,121730
Grimes,185,26604
Guadalupe,187,131533
Hale,189,36273
Hall,191,3353
Hamilton,193,8517
Hansford,195,5613
Hardeman,197,4139
Hardin,199,54635
Harris,201,4092459
Harrison,203,65631
Hartley,205,6062
Haskell,207,5899
Hays,209,157107
Hemphill,211,3807
Henderson,213,78532
Hidalgo,215,774769
Hill,217,35089
Hockley,219,22935
Hood,221,51182
Hopkins,223,35161
Houston,225,23732
Howard,227,35012
Hudspeth,229,3476
Hunt,231,86129
Hutchinson,233,22150
Irion,235,1599
Jack,237,9044
Jackson,239,14075
Jasper,241,35710
Jeff Davis,243,2342
Jefferson,245,252273
Jim Hogg,247,5300
Jim Wells,249,40838
Johnson,251,150934
Jones,253,20202
Karnes,255,14824
Kaufman,257,103350
Kendall,259,33410
Kenedy,261,416
Kent,263,808
Kerr,265,49625
Kimble,267,4607
King,269,286
Kinney,271,3598
Kleberg,273,32061
Knox,275,3719
Lamar,277,49793
Lamb,279,13977
Lampasas,281,19677
La Salle,283,6886
Lavaca,285,19263
Lee,287,16612
Leon,289,16801
Liberty,291,75643
Limestone,293,23384
Lipscomb,295,3302
Live Oak,297,11531
Llano,299,19301
Loving,301,82
Lubbock,303,278831
Lynn,305,5915
Madison,313,13664
Marion,315,10546
Martin,317,4799
Mason,319,4012
Matagorda,321,36702
Maverick,323,54258
McCulloch,307,8283
McLennan,309,234906
McMullen,311,707
Medina,325,46006
Menard,327,2242
Midland,329,136872
Milam,331,24757
Mills,333,4936
Mitchell,335,9403
Montague,337,19719
Montgomery,339,455746
Moore,341,21904
Morris,343,12934
Motley,345,1210
Nacogdoches,347,64524
Navarro,349,47735
Newton,351,14445
Nolan,353,15216
Nueces,355,340223
Ochiltree,357,10223
Oldham,359,2052
Orange,361,81837
Palo Pinto,363,28111
Panola,365,23796
Parker,367,116927
Parmer,369,10269
Pecos,371,15507
Polk,373,45413
Potter,375,121073
Presidio,377,7818
Rains,379,10914
Randall,381,120725
Reagan,383,3367
Real,385,3309
Red River,387,12860
Reeves,389,13783
Refugio,391,7383
Roberts,393,929
Robertson,395,16622
Rockwall,397,78337
Runnels,399,10501
Rusk,401,53330
Sabine,403,10834
San Augustine,405,8865
San Jacinto,407,26384
San Patricio,409,64804
San Saba,411,6131
Schleicher,413,3461
Scurry,415,16921
Shackelford,417,3378
Shelby,419,25448
Sherman,421,3034
Smith,423,209714
Somervell,425,8490
Starr,427,60968
Stephens,429,9630
Sterling,431,1143
Stonewall,433,1490
Sutton,435,4128
Swisher,437,7854
Tarrant,439,1809034
Taylor,441,131506
Terrell,443,984
Terry,445,12651
Throckmorton,447,1641
Titus,449,32334
Tom Green,451,110224
Travis,453,1024266
Trinity,455,14585
Tyler,457,21766
Upshur,459,39309
Upton,461,3355
Uvalde,463,26405
Val Verde,465,48879
Van Zandt,467,52579
Victoria,469,86793
Walker,471,67861
Waller,473,43205
Ward,475,10658
Washington,477,33718
Webb,479,250304
Wharton,481,41280
Wheeler,483,5410
Wichita,485,131500
Wilbarger,487,13535
Willacy,489,22134
Williamson,491,422679
Wilson,493,42918
Winkler,495,7110
Wise,497,59127
Wood,499,41964
Yoakum,501,7879
Young,503,18451
Zapata,505,13876
Zavala,507,11570
